date,amount,description
2012-01-01,1500.0,payday
2012-01-03,-99.18,groceries
2012-01-06,-96.95,electric bill
2012-01-11,-2123.21,mortgage
2012-01-15,1500.0,payday
2012-01-15,-50.18,gas bill
2012-01-15,-48.6,gas
2012-01-16,-44.76,groceries
2012-01-22,-200.0,student loan
2012-01-29,-50.96,groceries
2012-01-29,1500.0,payday
2012-01-29,-40.85,gas
2012-01-29,-150.0,car payment
2012-02-05,-70.24,electric bill
2012-02-08,16.98,gambling
2012-02-10,-2123.21,mortgage
2012-02-11,-48.52,groceries
2012-02-12,-42.68,gas
2012-02-12,1500.0,payday
2012-02-14,-51.88,gas bill
2012-02-21,-200.0,student loan
2012-02-24,-81.42,groceries
2012-02-26,-48.08,gas
2012-02-26,1500.0,payday
2012-02-28,-150.0,car payment
2012-03-06,-66.25,electric bill
2012-03-08,-52.71,groceries
2012-03-11,-48.92,gas
2012-03-11,1500.0,payday
2012-03-11,-2123.21,mortgage
2012-03-15,-47.61,gas bill
2012-03-21,-47.26,groceries
2012-03-22,-200.0,student loan
2012-03-25,-41.7,gas
2012-03-25,1500.0,payday
2012-03-29,-150.0,car payment
2012-04-03,-42.59,groceries
2012-04-05,-68.41,electric bill
2012-04-08,-46.37,gas
2012-04-08,1500.0,payday
2012-04-08,87.76,gambling
2012-04-10,-2123.21,mortgage
2012-04-14,-31.12,gas bill
2012-04-16,-57.33,groceries
2012-04-21,-200.0,student loan
2012-04-22,1500.0,payday
2012-04-22,-48.85,gas
2012-04-28,-150.0,car payment
2012-04-29,-46.62,groceries
2012-05-05,-62.96,electric bill
2012-05-06,-48.44,gas
2012-05-06,1500.0,payday
2012-05-10,-2123.21,mortgage
2012-05-12,-51.24,groceries
2012-05-14,-58.15,gas bill
2012-05-20,-46.11,gas
2012-05-20,1500.0,payday
2012-05-21,-200.0,student loan
2012-05-25,-45.48,groceries
2012-05-28,-150.0,car payment
2012-06-03,1500.0,payday
2012-06-03,-40.92,gas
2012-06-04,-99.62,electric bill
2012-06-07,-90.66,groceries
2012-06-07,-166.28,gambling
2012-06-09,-2123.21,mortgage
2012-06-13,-73.27,gas bill
2012-06-17,1500.0,payday
2012-06-17,-41.69,gas
2012-06-20,-84.4,groceries
2012-06-20,-200.0,student loan
2012-06-27,-150.0,car payment
2012-07-01,-41.97,gas
2012-07-01,1500.0,payday
2012-07-03,-37.9,groceries
2012-07-04,-92.89,electric bill
2012-07-09,-2123.21,mortgage
2012-07-13,-68.94,gas bill
2012-07-15,1500.0,payday
2012-07-15,-48.78,gas
2012-07-16,-79.4,groceries
2012-07-20,-200.0,student loan
2012-07-27,-150.0,car payment
2012-07-29,1500.0,payday
2012-07-29,-46.35,groceries
2012-07-29,-41.37,gas
2012-08-03,-86.7,electric bill
2012-08-06,88.84,gambling
2012-08-08,-2123.21,mortgage
2012-08-11,-97.42,groceries
2012-08-12,-61.53,gas bill
2012-08-12,1500.0,payday
2012-08-12,-44.67,gas
2012-08-19,-200.0,student loan
2012-08-24,-90.62,groceries
2012-08-26,-46.57,gas
2012-08-26,1500.0,payday
2012-08-26,-150.0,car payment
2012-09-02,-98.11,electric bill
2012-09-06,-84.46,groceries
2012-09-07,-2123.21,mortgage
2012-09-09,-43.57,gas
2012-09-09,1500.0,payday
2012-09-11,-46.51,gas bill
2012-09-18,-200.0,student loan
2012-09-19,-71.31,groceries
2012-09-23,-48.23,gas
2012-09-23,1500.0,payday
2012-09-25,-150.0,car payment
2012-10-02,-58.7,groceries
2012-10-02,-99.59,electric bill
2012-10-05,-22.26,gambling
2012-10-07,-44.56,gas
2012-10-07,1500.0,payday
2012-10-07,-2123.21,mortgage
2012-10-11,-37.22,gas bill
2012-10-15,-97.47,groceries
2012-10-18,-200.0,student loan
2012-10-21,-42.23,gas
2012-10-21,1500.0,payday
2012-10-25,-150.0,car payment
2012-10-28,-71.52,groceries
2012-11-01,-62.57,electric bill
2012-11-04,-41.74,gas
2012-11-04,1500.0,payday
